doc_id,sec_code,period_end,category_key,category_en,category_custom,headcount,total_yen,avg_per_head_yen,fixed_yen,base_yen,performance_yen,bonus_yen,non_monetary_yen,retirement_yen,other_components_yen,other_components,components_reconcile
S100YSPI,4431,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,13650000.0,13650000,,13650000.0,,,,,,,1
S100YSPI,4431,2026-04-30,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,18903000.0,3780600,,16800000.0,2103000.0,,,,,,1
S100YSKW,3161,2026-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,4.0,49855000.0,12463750,39930000.0,,,,9925000.0,,9925000.0,ShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,0
S100YSKW,3161,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,2.0,7898000.0,3949000,7314000.0,,,,584000.0,,584000.0,ShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100YSKW,3161,2026-04-30,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,14998000.0,2999600,13950000.0,,,,1048000.0,,1048000.0,ShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100YSOS,4552,2026-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,434000000.0,86800000,399000000.0,,,,35000000.0,,,,1
S100YSOS,4552,2026-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,12.0,121000000.0,10083333,116000000.0,,,,5000000.0,,,,1
S100YSP4,3903,2026-04-30,DirectorsExcludingAuditAndSupervisoryCommitteeMembersAndOutsideDirectorsMember,Directors excl. audit cttee (excl. outside),0,2.0,180000000.0,90000000,180000000.0,,,,,,,,1
S100YSP4,3903,2026-04-30,DirectorsAppointedAsAuditAndSupervisoryCommitteeMembersExcludingOutsideDirectorsMember,Audit-cttee directors (excl. outside),0,,,,,,,,,,,,
S100YSP4,3903,2026-04-30,OutsideDirectorsMember,Outside directors,0,4.0,24200000.0,6050000,24200000.0,,,,,,,,1
S100YSR5,184A,2026-04-30,DirectorsExcludingAuditAndSupervisoryCommitteeMembersAndOutsideDirectorsMember,Directors excl. audit cttee (excl. outside),0,5.0,42982000.0,8596400,42982000.0,,,,,,,,1
S100YSR5,184A,2026-04-30,OutsideDirectorsExcludingAuditAndSupervisoryCommitteeMembersAndOutsideDirectorsMember,,1,2.0,450000.0,225000,450000.0,,,,,,,,1
S100YSR5,184A,2026-04-30,OutsideDirectorsAppointedAsAuditAndSupervisoryCommitteeMembersMember,,1,3.0,2700000.0,900000,2700000.0,,,,,,,,1
S100YSR5,184A,2026-04-30,OutsideCorporateAuditorsMember,Outside statutory auditors,0,3.0,3300000.0,1100000,3300000.0,,,,,,,,1
S100YSTQ,9627,2026-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,6.0,229000000.0,38166667,,165000000.0,38000000.0,,25000000.0,,,,1
S100YSTQ,9627,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,2.0,9000000.0,4500000,,9000000.0,0.0,,,,,,1
S100YSTQ,9627,2026-04-30,OutsideDirectorsMember,Outside directors,0,5.0,56000000.0,11200000,,56000000.0,,,,,,,1
S100YSTQ,9627,2026-04-30,OutsideCorporateAuditorsMember,Outside statutory auditors,0,2.0,17000000.0,8500000,,17000000.0,,,,,,,1
S100YSTV,324A,2026-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,3.0,42750000.0,14250000,42750000.0,,,,,,,,1
S100YSTV,324A,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,6240000.0,6240000,6240000.0,,,,,,,,1
S100YSTV,324A,2026-04-30,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,23640000.0,4728000,23640000.0,,,,,,,,1
S100YSTZ,5079,2026-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,6.0,145532000.0,24255333,84060000.0,,55400000.0,,6072000.0,,,,1
S100YSTZ,5079,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,7300000.0,7300000,7300000.0,,,,,,,,1
S100YSTZ,5079,2026-04-30,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,24815000.0,4963000,24815000.0,,,,,,,,1
S100YSV9,7050,2026-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,4.0,120477000.0,30119250,120477000.0,,,,,,,,1
S100YSV9,7050,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YSV9,7050,2026-04-30,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,4.0,18300000.0,4575000,18300000.0,,,,,,,,1
S100YSZC,186A,2026-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,3.0,94780000.0,31593333,,94780000.0,,,,,,,1
S100YSZC,186A,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,1800000.0,1800000,,1800000.0,,,,,,,1
S100YSZC,186A,2026-04-30,OutsideDirectorsMember,Outside directors,0,4.0,19467000.0,4866750,,19467000.0,,,,,,,1
S100YSZC,186A,2026-04-30,OutsideCorporateAuditorsMember,Outside statutory auditors,0,3.0,12840000.0,4280000,,12840000.0,,,,,,,1
S100YSYE,2678,2026-05-20,DirectorsExcludingAuditAndSupervisoryCommitteeMembersAndOutsideDirectorsMember,Directors excl. audit cttee (excl. outside),0,10.0,183000000.0,18300000,,164000000.0,,,19000000.0,,,,1
S100YSYE,2678,2026-05-20,OutsideDirectorsMember,Outside directors,0,6.0,50000000.0,8333333,,50000000.0,,,,,,,1
S100YSYE,2678,2026-05-20,DirectorsAppointedAsAuditAndSupervisoryCommitteeMembersExcludingOutsideDirectorsMember,Audit-cttee directors (excl. outside),0,4.0,47000000.0,11750000,,47000000.0,,,,,,,1
S100YSYE,2678,2026-05-20,OutsideAuditAndSupervisoryCommitteeMemberMember,,1,3.0,30000000.0,10000000,,30000000.0,,,,,,,1
S100YSYE,2678,2026-05-20,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,3.0,8000000.0,2666667,,8000000.0,,,,,,,1
S100YSYE,2678,2026-05-20,OutsideCorporateAuditorsMember,Outside statutory auditors,0,2.0,4000000.0,2000000,,4000000.0,,,,,,,1
S100YT4P,391A,2026-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,94258000.0,18851600,89599000.0,,,,,4659000.0,,,1
S100YT4P,391A,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,6169000.0,6169000,6048000.0,,,,,121000.0,,,1
S100YT4P,391A,2026-04-30,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,8209000.0,1641800,7969000.0,,,,,240000.0,,,1
S100YT5Q,8303,2026-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,4.0,141000000.0,35250000,141000000.0,,,,,,,,1
S100YT5Q,8303,2026-03-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,21000000.0,21000000,21000000.0,,,,,,,,1
S100YT5Q,8303,2026-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,7.0,84000000.0,12000000,84000000.0,,,,,,,,1
S100YT9O,4934,2021-07-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,3.0,144425000.0,48141667,144425000.0,,,,,,,,1
S100YT9O,4934,2021-07-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YT9O,4934,2021-07-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,24500000.0,4900000,24500000.0,,,,,,,,1
S100YT9V,8030,2022-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,7.0,145760000.0,20822857,128720000.0,,,17040000.0,,,,,1
S100YT9V,8030,2022-03-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,3.0,13530000.0,4510000,13530000.0,,,,,,,,1
S100YT9V,8030,2022-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,6.0,37080000.0,6180000,37080000.0,,,,,,,,1
S100YTA4,4934,2022-07-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,3.0,179519000.0,59839667,137230000.0,,35460000.0,,6829000.0,,,,1
S100YTA4,4934,2022-07-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YTA4,4934,2022-07-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,41820000.0,8364000,41820000.0,,,,,,,,1
S100YTA6,8030,2023-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,144702000.0,28940400,129150000.0,,,15552000.0,,,,,1
S100YTA6,8030,2023-03-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,11850000.0,11850000,11850000.0,,,,,,,,1
S100YTA6,8030,2023-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,40650000.0,8130000,40650000.0,,,,,,,,1
S100YTAB,4934,2023-07-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,4.0,178983000.0,44745750,132585000.0,,38775000.0,,,,7623000.0,ShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100YTAB,4934,2023-07-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YTAB,4934,2023-07-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,45960000.0,9192000,45960000.0,,,,,,,,1
S100YTAG,4934,2024-07-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,4.0,106000000.0,26500000,92000000.0,,8000000.0,,,,4000000.0,ShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100YTAG,4934,2024-07-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YTAG,4934,2024-07-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,42000000.0,8400000,42000000.0,,,,,,,,1
S100YTAL,4934,2025-07-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,2.0,65000000.0,32500000,60000000.0,,,,,,5000000.0,CumulativeStockInvestmentPlanRemunerationByCategoryOfDirectorsAndOtherOfficers|ShareOptionRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100YTAL,4934,2025-07-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YTAL,4934,2025-07-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,40000000.0,8000000,40000000.0,,,,,,,,1
S100YTAP,8030,2024-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,7.0,158400000.0,22628571,158400000.0,,,,,,,,1
S100YTAP,8030,2024-03-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,2.0,12000000.0,6000000,12000000.0,,,,,,,,1
S100YTAP,8030,2024-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,8.0,47250000.0,5906250,47250000.0,,,,,,,,1
S100YTAV,8030,2025-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,7.0,187200000.0,26742857,167040000.0,,,20160000.0,,,,,1
