doc_id,edinet_code,sec_code,listed,industry,company_ja,company_en,period_end,filing_date,representative,board_size,male_officers,female_officers,female_ratio_filed,female_ratio_calc,officers_tagged,officers_untagged,avg_age,avg_tenure,avg_salary_yen,female_managers_ratio,gender_pay_gap_all,male_childcare_leave,pay_total_yen,named_pay_count,status,detail
S100YHUU,E37145,4419,listed,サービス業,株式会社Finatextホールディングス,Finatext Holdings Ltd.,2026-03-31,2026-06-23,代表取締役社長CEO 林 良太,7,7.0,,,,,,44.8,4.6,7988000.0,,,,68700000.0,0,clean,
S100YHUZ,E39367,142A,listed,サービス業,株式会社ジンジブ,"JINJIB Co.,Ltd.",2026-03-31,2026-06-23,代表取締役社長 佐々木 満秀,9,8.0,1.0,0.111,0.1111,9.0,0.0,30.0,3.0,4087000.0,0.308,,,95641000.0,0,clean,
S100YHVF,E04719,,unlisted,サービス業,株式会社福岡サンレイクゴルフ倶楽部,"FUKUOKASUNLAKE GOLFCLUB. CO.,LTD.",2026-03-31,2026-06-23,代表取締役社長 西 吾 朗,0,,,,,,,,,,,,,,0,no_tagged_board,officers table is TextBlock only
S100YHVK,E03052,8173,listed,小売業,株式会社Joshin(旧会社名 上新電機株式会社),"Joshin Corporation(旧英訳名 Joshin Denki Co.,Ltd.)",2026-03-31,2026-06-23,代表取締役兼社長執行役員CEO 高 橋 徹 也,8,4.0,4.0,0.5,0.5,8.0,0.0,44.0,19.0,6193000.0,0.035,0.608,,162000000.0,0,clean,
S100YHVS,E01959,6958,listed,電気機器,日本シイエムケイ株式会社,CMK CORPORATION,2026-03-31,2026-06-23,代表取締役社長 石坂 嘉章,12,11.0,1.0,0.083,0.0833,12.0,0.0,49.38,20.09,6578757.0,0.043,0.687,,240000000.0,0,clean,
S100YHWP,E01262,5449,listed,鉄鋼,大阪製鐵株式会社,"OSAKA STEEL CO., LTD.",2026-03-31,2026-06-23,代表取締役社長 谷 潤 一,11,11.0,0.0,0.0,0.0,11.0,0.0,41.4,14.7,7147000.0,0.024,0.772,,218000000.0,0,clean,
S100YHX4,E37788,9347,listed,サービス業,日本管財ホールディングス株式会社,"NIPPON KANZAI Holdings Co.,Ltd.",2026-03-31,2026-06-23,代表取締役社長 福 田 慎 太 郎,11,10.0,1.0,0.091,0.0909,11.0,0.0,40.5,9.9,6632685.0,0.139,0.504,,580000000.0,1,clean,
S100YHXO,E34090,4389,listed,情報・通信業,プロパティデータバンク株式会社,"Property Data Bank,Inc.",2026-03-31,2026-06-23,代表取締役社長 武野 貞久,8,7.0,1.0,0.125,0.125,8.0,0.0,45.6,5.4,7762677.0,,,,264195000.0,0,clean,
S100YHYE,E32766,3970,listed,情報・通信業,株式会社イノベーション,Innovation Inc.,2026-03-31,2026-06-23,代表取締役社長 CEO 富田 直人,5,5.0,,,,,,34.8,4.3,6410000.0,0.188,0.837,,113181000.0,0,clean,
S100YHYF,E03361,2674,listed,小売業,株式会社ハードオフコーポレーション,"HARD OFF CORPORATION Co.,Ltd.",2026-03-31,2026-06-23,代表取締役社長 山本 太郎,8,7.0,1.0,0.125,0.125,8.0,0.0,36.6,11.2,5383000.0,0.105,0.632,,163617000.0,0,clean,
S100YHYK,E01222,5288,listed,ガラス・土石製品,アジアパイルホールディングス株式会社,ASIA PILE HOLDINGS CORPORATION,2025-03-31,2025-06-25,代表取締役社長最高執行役員 黒瀬 修介,14,13.0,1.0,0.071,0.0714,14.0,0.0,49.9,17.9,9012000.0,,,,172000000.0,0,clean,
S100YHZO,E39122,5599,listed,情報・通信業,S&J株式会社,S&amp;J Corporation,2026-03-31,2026-06-23,代表取締役社長 三輪 信雄,9,9.0,,,,,,40.2,3.6,7600825.0,,,,101915000.0,0,clean,
S100YHZV,E01773,6753,listed,電気機器,シャープ株式会社,Sharp Corporation,2026-03-31,2026-06-23,代表取締役 沖 津 雅 浩,7,6.0,1.0,0.14,0.1429,7.0,0.0,44.5,20.1,7818000.0,0.047,0.804,,353000000.0,1,clean,
