doc_id,sec_code,period_end,person_key,name_en,consolidated_pay_yen,voluntary_below_100m,on_board_at_filing
S100YD3V,6503,2026-03-31,fujimoto-kenichiro,Fujimoto Kenichiro,142000000,0,1
S100YD4R,4272,2026-03-31,kawamura-shigeyuki,Kawamura Shigeyuki,111000000,0,1
S100YD4Z,6240,2026-03-31,yamazaki-atsuhiko,Yamazaki Atsuhiko,180000000,0,1
S100YDHL,6098,2026-03-31,minegishi-masumi,Minegishi Masumi,304000000,0,1
S100YDHL,6098,2026-03-31,idekoba-hisayuki,Idekoba Hisayuki,1289000000,0,1
S100YDHL,6098,2026-03-31,senaha-ayano,Senaha Ayano,487000000,0,1
S100YDHL,6098,2026-03-31,rony-kahan,Rony Kahan,602000000,0,1
S100YDHL,6098,2026-03-31,izumiya-naoki,Izumiya Naoki,38000000,1,1
S100YDHL,6098,2026-03-31,kodera-tsuyoshi,Kodera Tsuyoshi,30000000,1,1
S100YDHL,6098,2026-03-31,totoki-hiroki,Totoki Hiroki,8000000,1,0
S100YDHL,6098,2026-03-31,honda-keiko,Honda Keiko,38000000,1,1
S100YDHL,6098,2026-03-31,katrina-lake,Katrina Lake,38000000,1,1
S100YDHL,6098,2026-03-31,nagashima-yukiko,Nagashima Yukiko,44000000,1,1
S100YDHL,6098,2026-03-31,nishimura-takashi,Nishimura Takashi,44000000,1,1
S100YDHL,6098,2026-03-31,ogawa-yoichiro,Ogawa Yoichiro,21000000,1,1
S100YDHL,6098,2026-03-31,natori-katsuya,Natori Katsuya,21000000,1,1
S100YDP3,8308,2026-03-31,minami-masahiro,Minami Masahiro,150000000,0,1
S100YDP3,8308,2026-03-31,iwanaga-shoichi,Iwanaga Shoichi,117000000,0,0
S100YDP3,8308,2026-03-31,fukuoka-satoshi,Fukuoka Satoshi,108000000,0,0
S100YDRI,8439,2026-03-31,yukiya-masataka,Yukiya Masataka,144000000,0,1
S100YDSE,8331,2026-03-31,yonemoto-tsutomu,Yonemoto Tsutomu,105000000,0,1
S100YDTC,8609,2026-03-31,shinshiba-hiroyuki,Shinshiba Hiroyuki,125000000,0,1
S100YDYF,7947,2026-03-31,sato-morimasa,Sato Morimasa,248000000,0,1
S100YDYF,7947,2026-03-31,yasuda-kazuyuki,Yasuda Kazuyuki,130000000,0,1
S100YE1D,2121,2026-03-31,kimura-koki,Kimura Koki,272000000,0,1
S100YE1D,2121,2026-03-31,murase-tatsuma,Murase Tatsuma,147000000,0,1
S100YE5N,4527,2026-03-31,yamada-kunio,Yamada Kunio,208000000,0,1
S100YE5V,2801,2026-03-31,mogi-yuzaburo,Mogi Yuzaburo,137000000,0,1
S100YE5V,2801,2026-03-31,horikiri-noriaki,Horikiri Noriaki,137000000,0,1
S100YE5V,2801,2026-03-31,nakano-shozaburo,Nakano Shozaburo,149000000,0,1
S100YE5V,2801,2026-03-31,shimada-masanao,Shimada Masanao,125000000,0,1
S100YE76,9434,2026-03-31,imai-yasuyuki,Imai Yasuyuki,350000000,0,1
S100YE76,9434,2026-03-31,miyakawa-junichi,Miyakawa Junichi,568000000,0,1
S100YE76,9434,2026-03-31,shimba-jun,Shimba Jun,341000000,0,1
S100YE76,9434,2026-03-31,fujihara-kazuhiko,Fujihara Kazuhiko,270000000,0,1
S100YE8H,3153,2026-03-31,ohta-akio,Ohta Akio,131000000,0,1
S100YE8Y,4206,2026-03-31,ono-yuji,Ono Yuji,122000000,0,1
S100YE9I,4063,2026-03-31,akiya-fumio,Akiya Fumio,354000000,0,1
S100YE9I,4063,2026-03-31,saitoh-yasuhiko,Saitoh Yasuhiko,492000000,0,1
S100YE9I,4063,2026-03-31,ueno-susumu,Ueno Susumu,147000000,0,1
S100YE9I,4063,2026-03-31,todoroki-masahiko,Todoroki Masahiko,151000000,0,1
S100YED6,8078,2026-03-31,nakagawa-yoichi,Nakagawa Yoichi,104000000,0,1
S100YEE5,6845,2026-03-31,yamamoto-kiyohiro,Yamamoto Kiyohiro,195000000,0,1
S100YEE5,6845,2026-03-31,yokota-takayuki,Yokota Takayuki,132000000,0,1
S100YEEB,6504,2026-03-31,kitazawa-michihiro,Kitazawa Michihiro,264000000,0,1
S100YEEB,6504,2026-03-31,kondp-shiro,Kondp Shiro,242000000,0,1
S100YEEB,6504,2026-03-31,hosen-toru,Hosen Toru,135000000,0,1
S100YEEB,6504,2026-03-31,tetsutani-hiroshi,Tetsutani Hiroshi,124000000,0,1
S100YEEB,6504,2026-03-31,kawano-masashi,Kawano Masashi,135000000,0,1
S100YEEB,6504,2026-03-31,miyoshi-yoshitada,Miyoshi Yoshitada,125000000,0,1
S100YEES,3635,2026-03-31,erikawa-keiko,Erikawa Keiko,272000000,0,1
S100YEES,3635,2026-03-31,erikawa-yoichi,Erikawa Yoichi,244000000,0,1
S100YEES,3635,2026-03-31,koinuma-hisashi,Koinuma Hisashi,240000000,0,1
S100YEFI,9024,2026-03-31,goto-takashi,Goto Takashi,207000000,0,1
S100YEFI,9024,2026-03-31,nishiyama-ryuichiro,Nishiyama Ryuichiro,148000000,0,1
S100YEFI,9024,2026-03-31,ogawa-shuichiro,Ogawa Shuichiro,106000000,0,1
S100YEFI,9024,2026-03-31,kaneda-yoshiki,Kaneda Yoshiki,103000000,0,1
S100YEFI,9024,2026-03-31,saito-tomohide,Saito Tomohide,108000000,0,1
S100YEFQ,1963,2026-03-31,sato-masayuki,Sato Masayuki,155000000,0,1
S100YEFQ,1963,2026-03-31,terajima-kiyotaka,Terajima Kiyotaka,103000000,0,1
S100YEFT,7014,2026-03-31,namura-tatsuhiko,Namura Tatsuhiko,173000000,0,1
S100YEFT,7014,2026-03-31,namura-kensuke,Namura Kensuke,147000000,0,1
S100YEGC,6005,2026-03-31,miyauchi-daisuke,Miyauchi Daisuke,133000000,0,1
S100YEGC,6005,2026-03-31,yoneda-tsuyoshi,Yoneda Tsuyoshi,132000000,0,1
S100YEGP,8174,2026-03-31,kashiwaya-kunihiko,Kashiwaya Kunihiko,109000000,0,1
S100YEH1,5845,2026-03-31,sako-yukiharu,Sako Yukiharu,153000000,0,0
S100YEH1,5845,2026-03-31,ibaraki-hidehiko,Ibaraki Hidehiko,274000000,0,1
S100YEI3,8252,2026-03-31,aoi-hiroshi,Aoi Hiroshi,124000000,0,1
S100YEOP,7729,2026-03-31,yoshida-hitoshi,Yoshida Hitoshi,169000000,0,1
S100YEOP,7729,2026-03-31,kimura-ryuichi,Kimura Ryuichi,189000000,0,1
S100YEQK,6135,2026-03-31,neo-eng-chong,Neo Eng Chong,145000000,0,1
S100YERK,8316,2026-03-31,takashima-makoto,Takashima Makoto,222000000,0,1
S100YERK,8316,2026-03-31,nakashima-toru,Nakashima Toru,300000000,0,1
S100YERK,8316,2026-03-31,kudo-teiko,Kudo Teiko,128000000,0,1
S100YERK,8316,2026-03-31,hyakutome-yoshihiro,Hyakutome Yoshihiro,125000000,0,0
S100YERK,8316,2026-03-31,mikami-takeshi,Mikami Takeshi,125000000,0,0
S100YERK,8316,2026-03-31,nakamura-keiichirou,Nakamura Keiichirou,101000000,0,0
S100YERK,8316,2026-03-31,isowa-akio,Isowa Akio,103000000,0,0
S100YERK,8316,2026-03-31,ito-fumihiko,Ito Fumihiko,103000000,0,0
S100YERK,8316,2026-03-31,kobayashi-takashi,Kobayashi Takashi,103000000,0,0
S100YERK,8316,2026-03-31,samejima-natsuhiro,Samejima Natsuhiro,109000000,0,0
S100YERK,8316,2026-03-31,takamatsu-hideki,Takamatsu Hideki,121000000,0,0
S100YERK,8316,2026-03-31,mabuchi-yukihiro,Mabuchi Yukihiro,111000000,0,0
S100YERK,8316,2026-03-31,uemura-akio,Uemura Akio,114000000,0,0
S100YERK,8316,2026-03-31,anchi-kazuyuki,Anchi Kazuyuki,115000000,0,1
S100YERK,8316,2026-03-31,nagata-arihiro,Nagata Arihiro,116000000,0,0
S100YETA,6752,2026-03-31,kusumi-yuki,Kusumi Yuki,124000000,0,1
S100YEU4,8706,2026-03-31,kikuchi-hiroyuki,Kikuchi Hiroyuki,116000000,0,1
S100YEU4,8706,2026-03-31,kikuchi-kazuhiro,Kikuchi Kazuhiro,150000000,0,1
S100YEXW,3951,2026-03-31,asahi-jugo,Asahi Jugo,572000000,0,0
S100YEY0,4568,2026-03-31,m-a-n-a-b-e-s-u-n-a-o,M A N A B E S U N A O,253000000,0,1
S100YEY0,4568,2026-03-31,o-k-u-z-a-w-a-h-i-r-o-y-u-k-i,O K U Z A W A H I R O Y U K I,273000000,0,1
S100YEY0,4568,2026-03-31,m-a-t-s-u-m-o-t-o-t-a-k-a-s-h-i,M A T S U M O T O T A K A S H I,106000000,0,1
S100YEY0,4568,2026-03-31,joseph-kenneth-keller,Joseph Kenneth Keller,979000000,0,1
