# Municipality centroids: median of Geolonia Japanese-addresses (CC BY 4.0,
# https://github.com/geolonia/japanese-addresses, snapshot 2023-11-15).
# Attribution required wherever coordinates derived from this file are displayed.
code,pref,city,lat,lng
01511,北海道,宗谷郡猿払村,45.28871,142.11918
01512,北海道,枝幸郡浜頓別町,45.12498,142.36474
01513,北海道,枝幸郡中頓別町,44.93204,142.29391
01514,北海道,枝幸郡枝幸町,44.84498,142.56999
01516,北海道,天塩郡豊富町,45.10308,141.77648
01517,北海道,礼文郡礼文町,45.36283,141.01663
01518,北海道,利尻郡利尻町,45.15613,141.18134
01519,北海道,利尻郡利尻富士町,45.1916,141.2546
01520,北海道,天塩郡幌延町,45.01487,141.85033
01543,北海道,網走郡美幌町,43.82263,144.10459
01544,北海道,網走郡津別町,43.70529,144.02076
01545,北海道,斜里郡斜里町,43.90532,144.69538
01546,北海道,斜里郡清里町,43.78673,144.53585
01547,北海道,斜里郡小清水町,43.85742,144.47156
01549,北海道,常呂郡訓子府町,43.7251,143.73578
01550,北海道,常呂郡置戸町,43.68053,143.60345
01552,北海道,常呂郡佐呂間町,44.00713,143.76138
01555,北海道,紋別郡遠軽町,44.05549,143.52302
01559,北海道,紋別郡湧別町,44.17596,143.59533
01560,北海道,紋別郡滝上町,44.19237,143.07894
01561,北海道,紋別郡興部町,44.46822,143.1221
01562,北海道,紋別郡西興部村,44.34417,142.94028
01563,北海道,紋別郡雄武町,44.5446,142.88818
01564,北海道,網走郡大空町,43.91201,144.17503
01571,北海道,虻田郡豊浦町,42.60721,140.7014
01575,北海道,有珠郡壮瞥町,42.56559,140.93647
01578,北海道,白老郡白老町,42.55493,141.35132
01581,北海道,勇払郡厚真町,42.70741,141.88256
01584,北海道,虻田郡洞爺湖町,42.5962,140.78753
01585,北海道,勇払郡安平町,42.86851,141.81529
01586,北海道,勇払郡むかわ町,42.57979,141.92973
01601,北海道,沙流郡日高町,42.52936,142.11322
01602,北海道,沙流郡平取町,42.65669,142.21582
01604,北海道,新冠郡新冠町,42.41561,142.36318
01607,北海道,浦河郡浦河町,42.17684,142.77298
01608,北海道,様似郡様似町,42.1317,142.93871
01609,北海道,幌泉郡えりも町,42.038,143.19152
01610,北海道,日高郡新ひだか町,42.3409,142.37174
01631,北海道,河東郡音更町,42.97881,143.2024
01632,北海道,河東郡士幌町,43.16885,143.24809
01633,北海道,河東郡上士幌町,43.26155,143.2736
01634,北海道,河東郡鹿追町,43.11496,142.99705
01635,北海道,上川郡新得町,43.08339,142.83821
01636,北海道,上川郡清水町,43.01082,142.88907
01637,北海道,河西郡芽室町,42.91111,143.04757
01638,北海道,河西郡中札内村,42.69638,143.13278
01639,北海道,河西郡更別村,42.61046,143.24489
01641,北海道,広尾郡大樹町,42.49399,143.27618
01642,北海道,広尾郡広尾町,42.2917,143.31148
01643,北海道,中川郡幕別町,42.87555,143.29741
01644,北海道,中川郡池田町,42.92868,143.44811
01645,北海道,中川郡豊頃町,42.79624,143.51981
01646,北海道,中川郡本別町,43.12567,143.60891
01647,北海道,足寄郡足寄町,43.24437,143.54946
01648,北海道,足寄郡陸別町,43.47828,143.7414
01649,北海道,十勝郡浦幌町,42.80804,143.69553
01661,北海道,釧路郡釧路町,43.01998,144.45549
01662,北海道,厚岸郡厚岸町,43.05542,144.84357
01663,北海道,厚岸郡浜中町,43.15749,145.08892
01664,北海道,川上郡標茶町,43.29788,144.60382
01665,北海道,川上郡弟子屈町,43.4896,144.45237
01667,北海道,阿寒郡鶴居村,43.23164,144.31775
01668,北海道,白糠郡白糠町,42.97725,144.07731
01691,北海道,野付郡別海町,43.39695,145.00394
01692,北海道,標津郡中標津町,43.5507,144.97915
01693,北海道,標津郡標津町,43.66024,145.1283
01694,北海道,目梨郡羅臼町,44.02636,145.19466
02201,青森県,青森市,40.81063,140.73904
02202,青森県,弘前市,40.60001,140.47157
02203,青森県,八戸市,40.50585,141.49265
02204,青森県,黒石市,40.6474,140.60826
02205,青森県,五所川原市,40.80877,140.46395
02206,青森県,十和田市,40.61269,141.21489
02207,青森県,三沢市,40.68565,141.3801
02208,青森県,むつ市,41.29811,141.18851
02209,青森県,つがる市,40.81407,140.37969
02210,青森県,平川市,40.59569,140.56306
02301,青森県,東津軽郡平内町,40.92355,140.95689
02303,青森県,東津軽郡今別町,41.18917,140.51417
02304,青森県,東津軽郡蓬田村,40.9796,140.63904
02307,青森県,東津軽郡外ケ浜町,41.13644,140.59342
02321,青森県,西津軽郡鰺ヶ沢町,40.77316,140.21191
02323,青森県,西津軽郡深浦町,40.61442,139.95023
02343,青森県,中津軽郡西目屋村,40.54888,140.26943
02361,青森県,南津軽郡藤崎町,40.66628,140.50349
02362,青森県,南津軽郡大鰐町,40.52378,140.56526
02367,青森県,南津軽郡田舎館村,40.63893,140.53626
02381,青森県,北津軽郡板柳町,40.70784,140.47435
02384,青森県,北津軽郡鶴田町,40.75086,140.43298
02387,青森県,北津軽郡中泊町,40.95862,140.42003
02401,青森県,上北郡野辺地町,40.86476,141.1255
02402,青森県,上北郡七戸町,40.73214,141.14967
02405,青森県,上北郡六戸町,40.60671,141.31779
02406,青森県,上北郡横浜町,41.08599,141.2594
02408,青森県,上北郡東北町,40.78016,141.24083
02411,青森県,上北郡六ヶ所村,40.93388,141.33912
02412,青森県,上北郡おいらせ町,40.61827,141.39532
02423,青森県,下北郡大間町,41.49724,140.92211
02424,青森県,下北郡東通村,41.30759,141.3595
02425,青森県,下北郡風間浦村,41.47757,141.00636
02426,青森県,下北郡佐井村,41.35142,140.84964
02441,青森県,三戸郡三戸町,40.37791,141.25442
02442,青森県,三戸郡五戸町,40.53168,141.32628
02443,青森県,三戸郡田子町,40.29972,141.0813
02445,青森県,三戸郡南部町,40.4057,141.28942
02446,青森県,三戸郡階上町,40.44081,141.57564
02450,青森県,三戸郡新郷村,40.44316,141.14811
03201,岩手県,盛岡市,39.68862,141.15509
03202,岩手県,宮古市,39.63658,141.94058
03203,岩手県,大船渡市,39.08136,141.71601
03205,岩手県,花巻市,39.41067,141.13541
03206,岩手県,北上市,39.29877,141.09773
03207,岩手県,久慈市,40.18882,141.76109
03208,岩手県,遠野市,39.32737,141.56019
03209,岩手県,一関市,38.92947,141.14123
03210,岩手県,陸前高田市,39.01508,141.62742
03211,岩手県,釜石市,39.27389,141.87776
03213,岩手県,二戸市,40.27786,141.30159
03214,岩手県,八幡平市,40.02339,141.06941
03215,岩手県,奥州市,39.12313,141.14055
03216,岩手県,滝沢市,39.73003,141.07039
03301,岩手県,岩手郡雫石町,39.69439,140.96067
03302,岩手県,岩手郡葛巻町,40.00414,141.37371
03303,岩手県,岩手郡岩手町,39.96576,141.21331
03321,岩手県,紫波郡紫波町,39.55449,141.14624
03322,岩手県,紫波郡矢巾町,39.60615,141.14198
03366,岩手県,和賀郡西和賀町,39.33725,140.76342
03381,岩手県,胆沢郡金ケ崎町,39.19591,141.0821
03402,岩手県,西磐井郡平泉町,38.98308,141.11598
03441,岩手県,気仙郡住田町,39.20812,141.52259
03461,岩手県,上閉伊郡大槌町,39.36603,141.90587
03482,岩手県,下閉伊郡山田町,39.46452,141.95353
03483,岩手県,下閉伊郡岩泉町,39.84709,141.80161
03484,岩手県,下閉伊郡田野畑村,39.93113,141.85876
03485,岩手県,下閉伊郡普代村,40.00234,141.87552
03501,岩手県,九戸郡軽米町,40.30956,141.45935
03503,岩手県,九戸郡野田村,40.11011,141.81752
03506,岩手県,九戸郡九戸村,40.21472,141.44178
