# English labels for the standard EDINET taxonomy elements,
# copied from the FSA's published element and account lists:
#   https://www.fsa.go.jp/search/20211109/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20221108/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20231211/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20241112/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20251111/  (1e, 1f, 1g)
# Rebuild with: python -m equity.taxonomy_labels --edition <YYYYMMDD>
element,label_en
jpcrp_cor:OtherInformationFinancialStatementsEtcHeading,Other information
jpcrp_cor:OtherInformationFinancialStatementsEtcTextBlock,Other information
jpcrp_cor:OtherInformationNonConsolidatedPriorYearTextBlock,Other information
jpcrp_cor:OtherInformationNonConsolidatedTextBlock,Other information
jpcrp_cor:OtherInformationOnShareAcquisitionRightsHeading,Share acquisition rights for other uses
jpcrp_cor:OtherInformationOnShareAcquisitionRightsTextBlock,Share acquisition rights for other uses
jpcrp_cor:OtherInformationSecurityInformationHeading,Other information
jpcrp_cor:OtherInformationSecurityInformationTextBlock,Other information
jpcrp_cor:OtherInvesteesExcludedFromConsolidatedAccountingGroupMember,Other investees excluded from consolidated accounting group
jpcrp_cor:OtherItemsSegmentInformationAbstract,Other items
jpcrp_cor:OtherOperatingSegmentsAxisMember,Other
jpcrp_cor:OtherReferenceInformationHeading,Other reference information
jpcrp_cor:OtherReferenceInformationTextBlock,Other reference information
jpcrp_cor:OtherRelevantInformationHeading,Other relevant information
jpcrp_cor:OtherRelevantInformationTextBlock,Other relevant information
jpcrp_cor:OtherRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,Other
jpcrp_cor:OtherReportableSegmentsMember,Other
jpcrp_cor:OtherSpecificInformationIfDeemedNecessaryAboutApplicationOfEquityMethodTextBlock,Other specific information if deemed necessary about application of equity method
jpcrp_cor:OutsideCorporateAuditorsMember,Outside corporate auditors
jpcrp_cor:OutsideDirectorsAndOtherOfficersMember,Outside directors (and other officers)
jpcrp_cor:OutsideDirectorsAndOutsideCorporateAuditorsTextBlock,Outside directors (and outside corporate auditors)
jpcrp_cor:OutsideDirectorsMember,Outside directors
jpcrp_cor:OverviewKAMConsolidatedPriorYearTextBlock,Overview
jpcrp_cor:OverviewKAMConsolidatedTextBlock,Overview
jpcrp_cor:OverviewKAMNonConsolidatedPriorYearTextBlock,Overview
jpcrp_cor:OverviewKAMNonConsolidatedTextBlock,Overview
jpcrp_cor:OverviewOfAcquirerHeading,Overview of acquirer
jpcrp_cor:OverviewOfAcquirerTextBlock,Overview of acquirer
jpcrp_cor:OverviewOfAffiliatedEntitiesHeading,Subsidiaries and other affiliated entities
jpcrp_cor:OverviewOfAffiliatedEntitiesTextBlock,Subsidiaries and other affiliated entities
jpcrp_cor:OverviewOfBusinessAllianceDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Overview of business alliance
jpcrp_cor:OverviewOfBusinessAllianceDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,Overview of business alliance
jpcrp_cor:OverviewOfBusinessAllianceDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Overview of business alliance
jpcrp_cor:OverviewOfBusinessAllianceDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Overview of business alliance
jpcrp_cor:OverviewOfBusinessAllianceDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,Overview of business alliance
jpcrp_cor:OverviewOfBusinessAllianceDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Overview of business alliance
jpcrp_cor:OverviewOfBusinessHeading,Overview of business
jpcrp_cor:OverviewOfBusinessInformationAboutGuaranteeCompanyNotSubjectToOngoingDisclosureHeading,Overview of business
jpcrp_cor:OverviewOfBusinessInformationAboutGuaranteeCompanyNotSubjectToOngoingDisclosureTextBlock,Overview of business
jpcrp_cor:OverviewOfCapitalExpendituresEtcAssetsForLeaseLEAHeading,Overview of capital expenditures
jpcrp_cor:OverviewOfCapitalExpendituresEtcAssetsForLeaseLEATextBlock,Overview of capital expenditures
jpcrp_cor:OverviewOfCapitalExpendituresEtcHeading,Overview of capital expenditures
jpcrp_cor:OverviewOfCapitalExpendituresEtcOwnUsedAssetsLEAHeading,Overview of capital expenditures
jpcrp_cor:OverviewOfCapitalExpendituresEtcOwnUsedAssetsLEATextBlock,Overview of capital expenditures
jpcrp_cor:OverviewOfCapitalExpendituresEtcTextBlock,Overview of capital expenditures
jpcrp_cor:OverviewOfCompanyCarryingOutReorganizationShareSwapOrTenderOfferHeading,"Overview of company carrying out reorganization, share swap or tender offer"
jpcrp_cor:OverviewOfCompanyCarryingOutReorganizationShareSwapOrTenderOfferTextBlock,"Overview of company carrying out reorganization, share swap or tender offer"
jpcrp_cor:OverviewOfCompanyCarryingOutTenderOfferOrShareSwapHeading,Overview of company carrying out tender offer or share swap
jpcrp_cor:OverviewOfCompanyCarryingOutTenderOfferOrShareSwapTextBlock,Overview of company carrying out tender offer or share swap
jpcrp_cor:OverviewOfCompanyHeading,Overview of company
jpcrp_cor:OverviewOfCompanyInformationAboutGuaranteeCompanyNotSubjectToOngoingDisclosureHeading,Overview of company
jpcrp_cor:OverviewOfCompanyInformationAboutGuaranteeCompanyNotSubjectToOngoingDisclosureTextBlock,Overview of company
jpcrp_cor:OverviewOfCorporateGovernanceHeading,Overview of corporate governance
jpcrp_cor:OverviewOfCorporateGovernanceTextBlock,Overview of corporate governance
jpcrp_cor:OverviewOfOperatingResultsEtcHeading,"Overview of operating results, etc."
jpcrp_cor:OverviewOfOperatingResultsEtcTextBlock,"Overview of operating results, etc."
jpcrp_cor:OverviewOfOperationalProceduresForSharesHeading,Outline of share-related administration of reporting company
jpcrp_cor:OverviewOfOperationalProceduresForSharesTextBlock,Outline of share-related administration of reporting company
jpcrp_cor:OverviewOfPartyCarryingOutTenderOfferHeading,Overview of company carrying out tender offer
jpcrp_cor:OverviewOfPartyCarryingOutTenderOfferTextBlock,Overview of company carrying out tender offer
jpcrp_cor:OverviewOfReorganizationShareSwapOrTenderOfferHeading,"Overview of reorganization, share swap or tender offer"
jpcrp_cor:OverviewOfTenderOfferHeading,Overview of tender offer
jpcrp_cor:OverviewOfTenderOfferOrShareSwapHeading,Overview of tender offer or share swap
jpcrp_cor:OverviewOfTenderOfferOrShareSwapTextBlock,Overview of tender offer or share swap
jpcrp_cor:OverviewOfTenderOfferTextBlock,Overview of tender offer
jpcrp_cor:OverviewOfThirdPartyAllocationEtcHeading,"Overview of third party allocation, etc."
jpcrp_cor:OwnUsedAssetsLEAHeading,Own-used assets
jpcrp_cor:ParticularsOfAllotmentAndBasisForCalculationPertainingToTenderOfferHeading,Particulars of allotment and basis for calculation thereof pertaining to tender offer
jpcrp_cor:ParticularsOfAllotmentAndBasisForCalculationPertainingToTenderOfferTextBlock,Particulars of allotment and basis for calculation thereof pertaining to tender offer
jpcrp_cor:ParticularsOfAllotmentAndBasisForCalculationThereofPertainingToReorganizationShareSwapOrTenderOfferHeading,"Particulars of allotment and basis for calculation thereof pertaining to reorganization, share swap or tender offer"
jpcrp_cor:ParticularsOfAllotmentAndBasisForCalculationThereofPertainingToReorganizationShareSwapOrTenderOfferTextBlock,"Particulars of allotment and basis for calculation thereof pertaining to reorganization, share swap or tender offer"
jpcrp_cor:ParticularsOfAllotmentAndBasisForCalculationThereofPertainingToTenderOfferOrShareSwapHeading,Particulars of allotment and basis for calculation thereof pertaining to tender offer or share swap
jpcrp_cor:ParticularsOfAllotmentAndBasisForCalculationThereofPertainingToTenderOfferOrShareSwapTextBlock,Particulars of allotment and basis for calculation thereof pertaining to tender offer or share swap
jpcrp_cor:ParticularsOfBiddingTermsOfPublicOfferingHeading,Particulars of bidding
jpcrp_cor:ParticularsOfBiddingTermsOfSecondaryDistributionByFirmCommitmentUnderwritingHeading,Particulars of bidding
jpcrp_cor:ParticularsOfBiddingTermsOfSecondaryDistributionByOverallotmentHeading,Particulars of bidding
jpcrp_cor:ParticularsOfBiddingTermsOfSecondaryDistributionHeading,Particulars of bidding
jpcrp_cor:ParticularsOfBookBuildingSecondaryDistributionOfCorporateBondsHeading,Particulars of book building
jpcrp_cor:ParticularsOfBookBuildingSecondaryDistributionOfCorporateBondsTextBlock,Particulars of book building
jpcrp_cor:ParticularsOfBookBuildingTermsOfPublicOfferingHeading,Particulars of book building
jpcrp_cor:ParticularsOfBookBuildingTermsOfPublicOfferingTextBlock,Particulars of book building
jpcrp_cor:ParticularsOfBookBuildingTermsOfSecondaryDistributionByFirmCommitmentUnderwritingHeading,Particulars of book building
jpcrp_cor:ParticularsOfBookBuildingTermsOfSecondaryDistributionByFirmCommitmentUnderwritingTextBlock,Particulars of book building
jpcrp_cor:ParticularsOfBookBuildingTermsOfSecondaryDistributionByOverallotmentHeading,Particulars of book building
jpcrp_cor:ParticularsOfBookBuildingTermsOfSecondaryDistributionByOverallotmentTextBlock,Particulars of book building
jpcrp_cor:ParticularsOfNewShareSubscriptionRightsHeading,Particulars of share acquisition rights
jpcrp_cor:ParticularsOfNewShareSubscriptionRightsTextBlock,Particulars of share acquisition rights
jpcrp_cor:ParticularsOfPublicOfferingHeading,Particulars of public offering
jpcrp_cor:ParticularsOfPublicOfferingTextBlock,Particulars of public offering
jpcrp_cor:ParticularsOfReverseSplitEtcIfApplicableHeading,"Particulars of reverse split, etc. if applicable"
jpcrp_cor:ParticularsOfReverseSplitEtcIfApplicableTextBlock,"Particulars of reverse split, etc. if applicable"
jpcrp_cor:ParticularsOfSecondaryDistributionHeading,Particulars of secondary distribution
jpcrp_cor:ParticularsOfSecondaryDistributionTextBlock,Particulars of secondary distribution
jpcrp_cor:PayoutRatioSummaryOfBusinessResults,Payout ratio
jpcrp_cor:PercentageOfShareholdingsFinancialInstitutions,Percentage of shareholdings - Financial institutions
jpcrp_cor:PercentageOfShareholdingsFinancialServiceProviders,Percentage of shareholdings - Financial service providers
jpcrp_cor:PercentageOfShareholdingsForeignIndividuals,Percentage of shareholdings - Foreign individuals
jpcrp_cor:PercentageOfShareholdingsForeignersOtherThanIndividuals,Percentage of shareholdings - Foreigners other than individuals
jpcrp_cor:PercentageOfShareholdingsIndividualsAndOthers,Percentage of shareholdings - Individuals and others
jpcrp_cor:PercentageOfShareholdingsNationalAndLocalGovernments,Percentage of shareholdings - National and local governments
jpcrp_cor:PercentageOfShareholdingsOtherCorporations,Percentage of shareholdings - Other corporations
jpcrp_cor:PerformanceBasedRemunerationRemunerationByCategoryOfDirectorsAndOtherOfficers,Performance-linked remuneration
jpcrp_cor:PerformanceDescriptionOfMetricsRelatedToPolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentAndTargetsAndPerformanceUsingSuchMetrics,Performance
jpcrp_cor:PerformanceLinkedShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,Performance-linked share awards
jpcrp_cor:PlaceForApplicationHeading,Place for application
jpcrp_cor:PlaceForApplicationParticularsOfBookBuildingHeading,Place for application
jpcrp_cor:PlaceForApplicationParticularsOfBookBuildingTextBlock,Place for application
jpcrp_cor:PlaceForApplicationPublicOfferingNotByBiddingHeading,Place for application
jpcrp_cor:PlaceForApplicationPublicOfferingNotByBiddingTextBlock,Place for application
jpcrp_cor:PlaceForApplicationTextBlock,Place for application
jpcrp_cor:PlaceForBidApplicationHeading,Place for bid application
jpcrp_cor:PlaceForBidApplicationTextBlock,Place for bid application
jpcrp_cor:PlaceForPaymentHeading,Place for payment
jpcrp_cor:PlaceForPaymentParticularsOfBookBuildingHeading,Place for payment
jpcrp_cor:PlaceForPaymentParticularsOfBookBuildingTextBlock,Place for payment
jpcrp_cor:PlaceForPaymentPublicOfferingByBiddingHeading,Place for payment
jpcrp_cor:PlaceForPaymentPublicOfferingByBiddingTextBlock,Place for payment
jpcrp_cor:PlaceForPaymentPublicOfferingNotByBiddingHeading,Place for payment
jpcrp_cor:PlaceForPaymentPublicOfferingNotByBiddingTextBlock,Place for payment
jpcrp_cor:PlaceForPaymentTextBlock,Place for payment
jpcrp_cor:PlaceForPublicInspectionCoverPageTextBlock,Place for public inspection
jpcrp_cor:PlaceForPublicInspectionDocumentsSubmittedByCompanyToBeReorganizedHeading,Place for public inspection
jpcrp_cor:PlaceForPublicInspectionDocumentsSubmittedByCompanyToBeReorganizedTextBlock,Place for public inspection
jpcrp_cor:PlaceForPublicInspectionDocumentsSubmittedByGuaranteeCompanyHeading,Place for public inspection
jpcrp_cor:PlaceForPublicInspectionDocumentsSubmittedByGuaranteeCompanyTextBlock,Place for public inspection
jpcrp_cor:PlaceForPublicInspectionOfReferenceDocumentsHeading,Place for public inspection of reference documents
jpcrp_cor:PlaceForPublicInspectionOfReferenceDocumentsTextBlock,Place for public inspection of reference documents
jpcrp_cor:PlaceOfFilingCoverPage,Place of filing
jpcrp_cor:PlannedAdditionsRetirementsEtcOfFacilitiesAssetsForLeaseLEAHeading,"Planned addition, retirement, and other changes of facilities"
jpcrp_cor:PlannedAdditionsRetirementsEtcOfFacilitiesAssetsForLeaseLEATextBlock,"Planned addition, retirement, and other changes of facilities"
jpcrp_cor:PlannedAdditionsRetirementsEtcOfFacilitiesHeading,"Planned addition, retirement, and other changes of facilities"
jpcrp_cor:PlannedAdditionsRetirementsEtcOfFacilitiesOwnUsedAssetsLEAHeading,"Planned addition, retirement, and other changes of facilities"
jpcrp_cor:PlannedAdditionsRetirementsEtcOfFacilitiesOwnUsedAssetsLEATextBlock,"Planned addition, retirement, and other changes of facilities"
jpcrp_cor:PlannedAdditionsRetirementsEtcOfFacilitiesTextBlock,"Planned addition, retirement, and other changes of facilities"
jpcrp_cor:PlannedAmountOfIssueOrLimitOnOutstandingBalanceContentsOfShelfRegistrationStatementCoverPage,Planned amount of issue or limit on outstanding balance
jpcrp_cor:PlannedAmountOfIssueOrLimitOnOutstandingBalanceCoverPageTextBlock,Planned amount of issue or limit on outstanding balance
jpcrp_cor:PlannedPeriodOfIssueCoverPage,Planned period of issue
jpcrp_cor:PolicyOnDevelopmentOfHumanResourcesAndInternalEnvironmentStrategyTextBlock,Policy on development of human resources and internal environment
jpcrp_cor:PriceEarningsRatioIFRSSummaryOfBusinessResults,Price-earnings ratio
jpcrp_cor:PriceEarningsRatioJMISSummaryOfBusinessResults,Price-earnings ratio
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,Price-earnings ratio
jpcrp_cor:PriceEarningsRatioUSGAAPSummaryOfBusinessResults,Price-earnings ratio
jpcrp_cor:PriorYearConsolidatedFinancialStatementsPreapredInAccordanceWithJMISHeading,Prior year consolidated financial statements prepared in accordance with JMIS
jpcrp_cor:PriorYearConsolidatedFinancialStatementsPreapredInAccordanceWithJMISTextBlock,Prior year consolidated financial statements prepared in accordance with JMIS
jpcrp_cor:ProceduresForReorganizationShareSwapOrTenderOfferHeading,"Procedures for reorganization, share swap or tender offer"
jpcrp_cor:ProceduresForReorganizationShareSwapOrTenderOfferTextBlock,"Procedures for reorganization, share swap or tender offer"
jpcrp_cor:ProceduresForTenderOfferOrShareSwapHeading,Procedures for tender offer or share swap
jpcrp_cor:ProceduresForTenderOfferOrShareSwapTextBlock,Procedures for tender offer or share swap
jpcrp_cor:ProceduresRelatedToTenderOfferHeading,Procedures for tender offer
jpcrp_cor:ProceduresRelatedToTenderOfferTextBlock,Procedures for tender offer
jpcrp_cor:ProfitLossAttributableToOwnersOfParentIFRSSummaryOfBusinessResults,"Profit (loss), attributable to owners of parent"
jpcrp_cor:ProfitLossAttributableToOwnersOfParentJMISSummaryOfBusinessResults,"Profit (loss), attributable to owners of parent"
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,Profit (loss) attributable to owners of parent
jpcrp_cor:ProfitLossBeforeTaxIFRSSummaryOfBusinessResults,Profit (loss) before tax
jpcrp_cor:ProfitLossBeforeTaxJMISSummaryOfBusinessResults,Profit (loss) before tax
jpcrp_cor:ProfitLossBeforeTaxUSGAAPSummaryOfBusinessResults,Profit (loss) before tax
jpcrp_cor:ProfitLossFromContinuingOperationsIFRSSummaryOfBusinessResults,Profit (loss) from continuing operations
jpcrp_cor:ProfitLossFromContinuingOperationsJMISSummaryOfBusinessResults,Profit (loss) from continuing operations
jpcrp_cor:ProfitLossIFRSSummaryOfBusinessResults,Profit (loss)
jpcrp_cor:ProfitLossJMISSummaryOfBusinessResults,Profit (loss)
jpcrp_cor:PropertyPlantAndEquipmentInformationForEachRegionTextBlock,"Property, plant and equipment"
jpcrp_cor:PublicOfferingByBiddingHeading,Public offering by bidding
jpcrp_cor:PublicOfferingByBiddingTextBlock,Public offering by bidding
jpcrp_cor:PublicOfferingNotByBiddingHeading,Public offering not by bidding
jpcrp_cor:PublicOfferingNotByBiddingTextBlock,Public offering not by bidding
jpcrp_cor:PurposeAndReasonForReorganizationShareSwapOrTenderOfferHeading,"Purpose and reason for reorganization, share swap or tender offer"
jpcrp_cor:PurposeAndReasonForReorganizationShareSwapOrTenderOfferTextBlock,"Purpose and reason for reorganization, share swap or tender offer"
jpcrp_cor:PurposeAndReasonForTenderOfferOrShareSwapHeading,Purpose and reason for tender offer or share swap
jpcrp_cor:PurposeAndReasonForTenderOfferOrShareSwapTextBlock,Purpose and reason for tender offer or share swap
jpcrp_cor:PurposeOfShareholdingOverviewOfBusinessAllianceQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,"Purpose of shareholding, overview of business alliance, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingOverviewOfBusinessAllianceQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,"Purpose of shareholding, overview of business alliance, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingOverviewOfBusinessAllianceQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,"Purpose of shareholding, overview of business alliance, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingOverviewOfBusinessAllianceQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,"Purpose of shareholding, overview of business alliance, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingOverviewOfBusinessAllianceQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,"Purpose of shareholding, overview of business alliance, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingOverviewOfBusinessAllianceQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,"Purpose of shareholding, overview of business alliance, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,"Purpose of shareholding, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,"Purpose of shareholding, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,"Purpose of shareholding, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,"Purpose of shareholding, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,"Purpose of shareholding, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposeOfShareholdingQuantitativeEffectsOfShareholdingAndReasonForIncreaseInNumberOfSharesDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,"Purpose of shareholding, quantitative effects of shareholding and reason for increase in number of shares"
jpcrp_cor:PurposesEtcOfTenderOfferHeading,Purpose and reason for tender offer
jpcrp_cor:PurposesEtcOfTenderOfferTextBlock,Purpose and reason for tender offer
jpcrp_cor:PurposesOfHoldingDetailsOfDeemedHoldingsOfEquitySecuritiesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Purpose of shareholding
jpcrp_cor:PurposesOfHoldingDetailsOfDeemedHoldingsOfEquitySecuritiesHeldForPurposesOtherThanPureInvestmentReportingCompany,Purpose of shareholding
jpcrp_cor:PurposesOfHoldingDetailsOfDeemedHoldingsOfEquitySecuritiesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Purpose of shareholding
jpcrp_cor:PurposesOfHoldingDetailsOfSpecifiedInvestmentEquitySecuritiesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Purpose of shareholding
jpcrp_cor:PurposesOfHoldingDetailsOfSpecifiedInvestmentEquitySecuritiesHeldForPurposesOtherThanPureInvestmentReportingCompany,Purpose of shareholding
jpcrp_cor:PurposesOfHoldingDetailsOfSpecifiedInvestmentEquitySecuritiesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Purpose of shareholding
jpcrp_cor:QuantitativeEffectsOfShareholdingDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Quantitative effects of shareholding
jpcrp_cor:QuantitativeEffectsOfShareholdingDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,Quantitative effects of shareholding
jpcrp_cor:QuantitativeEffectsOfShareholdingDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Quantitative effects of shareholding
jpcrp_cor:QuantitativeEffectsOfShareholdingDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Quantitative effects of shareholding
jpcrp_cor:QuantitativeEffectsOfShareholdingDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,Quantitative effects of shareholding
jpcrp_cor:QuantitativeEffectsOfShareholdingDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Quantitative effects of shareholding
jpcrp_cor:QuarterPeriodConsolidatedStatementOfComprehensiveIncomeSingleStatementTextBlock,Quarter period consolidated statement of comprehensive income
jpcrp_cor:QuarterPeriodConsolidatedStatementOfComprehensiveIncomeSingleStatementUSGAAPTextBlock,Quarter period consolidated statement of comprehensive income
jpcrp_cor:QuarterPeriodConsolidatedStatementOfComprehensiveIncomeTextBlock,Quarter period consolidated statement of comprehensive income
jpcrp_cor:QuarterPeriodConsolidatedStatementOfComprehensiveIncomeUSGAAPTextBlock,Quarter period consolidated statement of comprehensive income
jpcrp_cor:QuarterPeriodConsolidatedStatementOfIncomeTextBlock,Quarter period consolidated statement of income
jpcrp_cor:QuarterPeriodConsolidatedStatementOfIncomeUSGAAPTextBlock,Quarter period consolidated statement of income
jpcrp_cor:QuarterPeriodStatementOfIncomeTextBlock,Quarter period statement of income
jpcrp_cor:QuarterlyAccountingPeriodCoverPage,Quarterly accounting period
jpcrp_cor:QuarterlyBalanceSheetTextBlock,Quarterly balance sheet
jpcrp_cor:QuarterlyConsolidatedBalanceSheetTextBlock,Quarterly consolidated balance sheet
jpcrp_cor:QuarterlyConsolidatedBalanceSheetUSGAAPTextBlock,Quarterly consolidated balance sheet
jpcrp_cor:QuarterlyConsolidatedFinancialStatementsHeading,Quarterly consolidated financial statements
jpcrp_cor:QuarterlyConsolidatedStatementOfCashFlowsTextBlock,Quarterly consolidated statement of cash flows
jpcrp_cor:QuarterlyConsolidatedStatementOfCashFlowsUSGAAPTextBlock,Quarterly consolidated statement of cash flows
jpcrp_cor:QuarterlyFinancialStatementsHeading,Quarterly financial statements
jpcrp_cor:QuarterlySecuritiesReportOrSemiAnnualSecuritiesReportDocumentsSubmittedByCompanyToBeReorganizedHeading,Quarterly securities report or semi-annual securities report
jpcrp_cor:QuarterlySecuritiesReportOrSemiAnnualSecuritiesReportDocumentsSubmittedByCompanyToBeReorganizedTextBlock,Quarterly securities report or semi-annual securities report
jpcrp_cor:QuarterlySecuritiesReportOrSemiAnnualSecuritiesReportDocumentsSubmittedByGuaranteeCompanyHeading,Quarterly securities report or semi-annual securities report
jpcrp_cor:QuarterlySecuritiesReportOrSemiAnnualSecuritiesReportDocumentsSubmittedByGuaranteeCompanyTextBlock,Quarterly securities report or semi-annual securities report
jpcrp_cor:QuarterlySecuritiesReportOrSemiAnnualSecuritiesReportReferenceDocumentsHeading,Quarterly securities report or semi-annual securities report
jpcrp_cor:QuarterlySecuritiesReportOrSemiAnnualSecuritiesReportReferenceDocumentsTextBlock,Quarterly securities report or semi-annual securities report
jpcrp_cor:QuarterlyStatementOfCashFlowsTextBlock,Quarterly statement of cash flows
jpcrp_cor:QuarterlyStatementOfIncomeHeading,Quarterly statement of income
jpcrp_cor:RateOfReturnOnEquityIFRSSummaryOfBusinessResults,Rate of return on equity
jpcrp_cor:RateOfReturnOnEquityJMISSummaryOfBusinessResults,Rate of return on equity
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,Rate of return on equity
jpcrp_cor:RateOfReturnOnEquityUSGAAPSummaryOfBusinessResults,Rate of return on equity
jpcrp_cor:RatioOfFemaleDirectorsAndOtherOfficers,Ratio of female directors (and other officers)
jpcrp_cor:RatioOfFemaleDirectorsAndOtherOfficersProposal,Ratio of female directors (and other officers)
jpcrp_cor:RatioOfFemaleEmployeesInManagerialPositionsMetricsOfConsolidatedSubsidiaries,Ratio of female employees in managerial positions
jpcrp_cor:RatioOfFemaleEmployeesInManagerialPositionsMetricsOfReportingCompany,Ratio of female employees in managerial positions
jpcrp_cor:RatioOfMaleEmployeesTakingChildcareLeaveMetricsOfConsolidatedSubsidiariesAbstract,Ratio of male employees taking childcare leave
jpcrp_cor:RatioOfMaleEmployeesTakingChildcareLeaveMetricsOfReportingCompanyAbstract,Ratio of male employees taking childcare leave
jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults,Ratio of owners' equity to gross assets
jpcrp_cor:RatioOfOwnersEquityToGrossAssetsJMISSummaryOfBusinessResults,Ratio of owners' equity to gross assets
jpcrp_cor:RatioOfVotingRightsHeld,Ratio of voting rights held
jpcrp_cor:ReasonForChangeInPurposeOfShareholdingAndPolicyOnHoldingOrSaleOfSharesAfterChangeInvestmentSharesReclassifiedFromHeldForPurposesOtherThanPureInvestmentToHeldForPureInvestmentLargestHoldingCompany,Reason for change in purpose of shareholding and policy on holding or sale of shares after change
