# English (Hepburn) municipality names, keyed on the five-digit municipality
# code (全国地方公共団体コード).
#
# city_en / pref_en come from Japan Post's romanized zipcode data (KEN_ALL_ROME,
# downloaded 2026-08-28, https://www.post.japanpost.jp/zipcode/download.html);
# Hamamatsu's pre-2024 wards romanized manually.
#
# city_ja is the same municipality's Japanese name, joined on the code from
# equity/gazetteer_municipalities.csv (Geolonia japanese-addresses, CC BY 4.0).
# It is here so a source that names a municipality in Japanese but gives no
# code -- the Tourism Agency's accommodation survey, for one -- can still be
# matched to a published romanization instead of one invented here.
#
# Aggregate rows (prefecture totals, designated-city totals, 郡 subtotals) are
# NOT in this file: they are derived from their members in app/place_en.py.
code,city_en,pref_en,city_ja
01432,Kabato-gun Shintotsukawa-cho,Hokkaido,樺戸郡新十津川町
01433,Uryu-gun Moseushi-cho,Hokkaido,雨竜郡妹背牛町
01434,Uryu-gun Chippubetsu-cho,Hokkaido,雨竜郡秩父別町
01436,Uryu-gun Uryu-cho,Hokkaido,雨竜郡雨竜町
01437,Uryu-gun Hokuryu-cho,Hokkaido,雨竜郡北竜町
01438,Uryu-gun Numata-cho,Hokkaido,雨竜郡沼田町
01452,Kamikawa-gun Takasu-cho,Hokkaido,上川郡鷹栖町
01453,Kamikawa-gun Higashikagura-cho,Hokkaido,上川郡東神楽町
01454,Kamikawa-gun Toma-cho,Hokkaido,上川郡当麻町
01455,Kamikawa-gun Pippu-cho,Hokkaido,上川郡比布町
01456,Kamikawa-gun Aibetsu-cho,Hokkaido,上川郡愛別町
01457,Kamikawa-gun Kamikawa-cho,Hokkaido,上川郡上川町
01458,Kamikawa-gun Higashikawa-cho,Hokkaido,上川郡東川町
01459,Kamikawa-gun Biei-cho,Hokkaido,上川郡美瑛町
01460,Sorachi-gun Kamifurano-cho,Hokkaido,空知郡上富良野町
01461,Sorachi-gun Nakafurano-cho,Hokkaido,空知郡中富良野町
01462,Sorachi-gun Minamifurano-cho,Hokkaido,空知郡南富良野町
01463,Yufutsu-gun Shimukappu-mura,Hokkaido,勇払郡占冠村
01464,Kamikawa-gun Wassamu-cho,Hokkaido,上川郡和寒町
01465,Kamikawa-gun Kembuchi-cho,Hokkaido,上川郡剣淵町
01468,Kamikawa-gun Shimokawa-cho,Hokkaido,上川郡下川町
01469,Nakagawa-gun Bifuka-cho,Hokkaido,中川郡美深町
01470,Nakagawa-gun Otoineppu-mura,Hokkaido,中川郡音威子府村
01471,Nakagawa-gun Nakagawa-cho,Hokkaido,中川郡中川町
01472,Uryu-gun Horokanai-cho,Hokkaido,雨竜郡幌加内町
01481,Mashike-gun Mashike-cho,Hokkaido,増毛郡増毛町
01482,Rumoi-gun Obira-cho,Hokkaido,留萌郡小平町
01483,Tomamae-gun Tomamae-cho,Hokkaido,苫前郡苫前町
01484,Tomamae-gun Haboro-cho,Hokkaido,苫前郡羽幌町
01485,Tomamae-gun Shosambetsu-mura,Hokkaido,苫前郡初山別村
01486,Teshio-gun Embetsu-cho,Hokkaido,天塩郡遠別町
01487,Teshio-gun Teshio-cho,Hokkaido,天塩郡天塩町
01511,Soya-gun Sarufutsu-mura,Hokkaido,宗谷郡猿払村
01512,Esashi-gun Hamatombetsu-cho,Hokkaido,枝幸郡浜頓別町
01513,Esashi-gun Nakatombetsu-cho,Hokkaido,枝幸郡中頓別町
01514,Esashi-gun Esashi-cho,Hokkaido,枝幸郡枝幸町
01516,Teshio-gun Toyotomi-cho,Hokkaido,天塩郡豊富町
01517,Rebun-gun Rebun-cho,Hokkaido,礼文郡礼文町
01518,Rishiri-gun Rishiri-cho,Hokkaido,利尻郡利尻町
01519,Rishiri-gun Rishirifuji-cho,Hokkaido,利尻郡利尻富士町
01520,Teshio-gun Horonobe-cho,Hokkaido,天塩郡幌延町
01543,Abashiri-gun Bihoro-cho,Hokkaido,網走郡美幌町
01544,Abashiri-gun Tsubetsu-cho,Hokkaido,網走郡津別町
01545,Shari-gun Shari-cho,Hokkaido,斜里郡斜里町
01546,Shari-gun Kiyosato-cho,Hokkaido,斜里郡清里町
01547,Shari-gun Koshimizu-cho,Hokkaido,斜里郡小清水町
01549,Tokoro-gun Kunneppu-cho,Hokkaido,常呂郡訓子府町
01550,Tokoro-gun Oketo-cho,Hokkaido,常呂郡置戸町
01552,Tokoro-gun Saroma-cho,Hokkaido,常呂郡佐呂間町
01555,Mombetsu-gun Engaru-cho,Hokkaido,紋別郡遠軽町
01559,Mombetsu-gun Yubetsu-cho,Hokkaido,紋別郡湧別町
01560,Mombetsu-gun Takinoe-cho,Hokkaido,紋別郡滝上町
01561,Mombetsu-gun Okoppe-cho,Hokkaido,紋別郡興部町
01562,Mombetsu-gun Nishiokoppe-mura,Hokkaido,紋別郡西興部村
01563,Mombetsu-gun Omu-cho,Hokkaido,紋別郡雄武町
01564,Abashiri-gun Ozora-cho,Hokkaido,網走郡大空町
01571,Abuta-gun Toyora-cho,Hokkaido,虻田郡豊浦町
01575,Usu-gun Sobetsu-cho,Hokkaido,有珠郡壮瞥町
01578,Shiraoi-gun Shiraoi-cho,Hokkaido,白老郡白老町
01581,Yufutsu-gun Atsuma-cho,Hokkaido,勇払郡厚真町
01584,Abuta-gun Toyako-cho,Hokkaido,虻田郡洞爺湖町
01585,Yufutsu-gun Abira-cho,Hokkaido,勇払郡安平町
01586,Yufutsu-gun Mukawa-cho,Hokkaido,勇払郡むかわ町
01601,Saru-gun Hidaka-cho,Hokkaido,沙流郡日高町
01602,Saru-gun Biratori-cho,Hokkaido,沙流郡平取町
01604,Niikappu-gun Niikappu-cho,Hokkaido,新冠郡新冠町
01607,Urakawa-gun Urakawa-cho,Hokkaido,浦河郡浦河町
01608,Samani-gun Samani-cho,Hokkaido,様似郡様似町
01609,Horoizumi-gun Erimo-cho,Hokkaido,幌泉郡えりも町
01610,Hidaka-gun Shinhidaka-cho,Hokkaido,日高郡新ひだか町
01631,Kato-gun Otofuke-cho,Hokkaido,河東郡音更町
01632,Kato-gun Shihoro-cho,Hokkaido,河東郡士幌町
01633,Kato-gun Kamishihoro-cho,Hokkaido,河東郡上士幌町
01634,Kato-gun Shikaoi-cho,Hokkaido,河東郡鹿追町
01635,Kamikawa-gun Shintoku-cho,Hokkaido,上川郡新得町
01636,Kamikawa-gun Shimizu-cho,Hokkaido,上川郡清水町
01637,Kasai-gun Memuro-cho,Hokkaido,河西郡芽室町
01638,Kasai-gun Nakasatsunai-mura,Hokkaido,河西郡中札内村
01639,Kasai-gun Sarabetsu-mura,Hokkaido,河西郡更別村
01641,Hiro-gun Taiki-cho,Hokkaido,広尾郡大樹町
01642,Hiro-gun Hiro-cho,Hokkaido,広尾郡広尾町
01643,Nakagawa-gun Makubetsu-cho,Hokkaido,中川郡幕別町
01644,Nakagawa-gun Ikeda-cho,Hokkaido,中川郡池田町
01645,Nakagawa-gun Toyokoro-cho,Hokkaido,中川郡豊頃町
01646,Nakagawa-gun Hombetsu-cho,Hokkaido,中川郡本別町
01647,Ashoro-gun Ashoro-cho,Hokkaido,足寄郡足寄町
01648,Ashoro-gun Rikubetsu-cho,Hokkaido,足寄郡陸別町
01649,Tokachi-gun Urahoro-cho,Hokkaido,十勝郡浦幌町
01661,Kushiro-gun Kushiro-cho,Hokkaido,釧路郡釧路町
01662,Akkeshi-gun Akkeshi-cho,Hokkaido,厚岸郡厚岸町
01663,Akkeshi-gun Hamanaka-cho,Hokkaido,厚岸郡浜中町
01664,Kawakami-gun Shibecha-cho,Hokkaido,川上郡標茶町
01665,Kawakami-gun Teshikaga-cho,Hokkaido,川上郡弟子屈町
01667,Akan-gun Tsurui-mura,Hokkaido,阿寒郡鶴居村
01668,Shiranuka-gun Shiranuka-cho,Hokkaido,白糠郡白糠町
01691,Notsuke-gun Betsukai-cho,Hokkaido,野付郡別海町
01692,Shibetsu-gun Nakashibetsu-cho,Hokkaido,標津郡中標津町
01693,Shibetsu-gun Shibetsu-cho,Hokkaido,標津郡標津町
01694,Menashi-gun Rausu-cho,Hokkaido,目梨郡羅臼町
02201,Aomori-shi,Aomori,青森市
02202,Hirosaki-shi,Aomori,弘前市
02203,Hachinohe-shi,Aomori,八戸市
02204,Kuroishi-shi,Aomori,黒石市
02205,Goshogawara-shi,Aomori,五所川原市
02206,Towada-shi,Aomori,十和田市
02207,Misawa-shi,Aomori,三沢市
02208,Mutsu-shi,Aomori,むつ市
02209,Tsugaru-shi,Aomori,つがる市
02210,Hirakawa-shi,Aomori,平川市
02301,Higashitsugaru-gun Hiranai-machi,Aomori,東津軽郡平内町
02303,Higashitsugaru-gun Imabetsu-machi,Aomori,東津軽郡今別町
02304,Higashitsugaru-gun Yomogita-mura,Aomori,東津軽郡蓬田村
02307,Higashitsugaru-gun Sotogahama-machi,Aomori,東津軽郡外ケ浜町
02321,Nishitsugaru-gun Ajigasawa-machi,Aomori,西津軽郡鰺ヶ沢町
02323,Nishitsugaru-gun Fukaura-machi,Aomori,西津軽郡深浦町
02343,Nakatsugaru-gun Nishimeya-mura,Aomori,中津軽郡西目屋村
02361,Minamitsugaru-gun Fujisaki-machi,Aomori,南津軽郡藤崎町
02362,Minamitsugaru-gun Owani-machi,Aomori,南津軽郡大鰐町
02367,Minamitsugaru-gun Inakadate-mura,Aomori,南津軽郡田舎館村
02381,Kitatsugaru-gun Itayanagi-machi,Aomori,北津軽郡板柳町
02384,Kitatsugaru-gun Tsuruta-machi,Aomori,北津軽郡鶴田町
